profile,step,segment,global_command_first,global_command_last,command,scheduled_start_sim_time_s,scheduled_end_sim_time_s,planned_start_offset_s,planned_end_offset_s,observer_wall_time,max_servo_error_deg,servo_errors_deg,wheel_targets_rad_s,residual_warning,stop_reason,step24_25_evidence
fast,25,127,182,182,wheel stop,402.9359999999991,402.9359999999991,77.95266666679703,77.95266666679703,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,YES
fast,26,128,183,191,servo front_left_hip 35.3 | servo front_left_knee -11.5 | servo front_right_hip 32.5 | servo front_right_knee -15.7 | servo rear_left_hip -0.7 | servo rear_left_knee 20.3 | servo rear_right_hip -0.7 | servo rear_right_knee -44.8 | wheel rl -1.11,402.9359999999991,403.63899999997864,77.95266666679703,78.65566666677654,1785900471.0182261,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":-1.11,""rear_right_ankle"":0.0}","{""step_index"":25,""segment_index"":126,""max_error_deg"":2.070179343218171,""effective_tolerance_deg"":2.141030208629384,""recorded_residual_deg"":{""front_left_hip"":-0.005501323812524106,""front_left_knee"":0.007932156520050526,""front_right_hip"":0.8090540665928643,""front_right_knee"":0.013649721065698728,""rear_left_hip"":-1.3910302086293842,""rear_left_knee"":0.15308001352223144,""rear_right_hip"":0.2793659640905984,""rear_right_knee"":-0.2390509648917245},""measured_errors_deg"":{""front_left_hip"":0.12081277960310643,""front_left_knee"":-0.08612808608748601,""front_right_hip"":0.2512256868887519,""front_right_knee"":0.041504940048302075,""rear_left_hip"":-2.070179343218171,""rear_left_knee"":-0.15701569743822397,""rear_right_hip"":-0.015775421208085394,""rear_right_knee"":-0.10598521948153916},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.641030208629384}",,
fast,26,129,192,192,wheel stop,403.63899999997864,403.63899999997864,78.65566666677654,78.65566666677654,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
fast,27,130,193,193,servo front_right_knee -14.3,403.63899999997864,403.64833333331194,78.65566666677654,78.66500000010987,1785900471.7122061,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":26,""segment_index"":128,""max_error_deg"":1.3496691443367257,""effective_tolerance_deg"":1.8700155594392713,""recorded_residual_deg"":{""front_left_hip"":0.3821972889503229,""front_left_knee"":0.0825058694255425,""front_right_hip"":0.3840455454888243,""front_right_knee"":0.14938436289406987,""rear_left_hip"":-1.1200155594392713,""rear_left_knee"":-0.23801554020164772,""rear_right_hip"":0.13710673069671991,""rear_right_knee"":0.42143174294309205},""measured_errors_deg"":{""front_left_hip"":0.1007627592945326,""front_left_knee"":-0.03809563452301745,""front_right_hip"":0.024026274337451525,""front_right_knee"":0.08665932065125759,""rear_left_hip"":-1.3496691443367257,""rear_left_knee"":-0.06846975443442105,""rear_right_hip"":-0.06179478123639831,""rear_right_knee"":0.11049762626201698},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.3700155594392713}",,
fast,27,131,194,194,servo front_right_knee 2.3,403.64833333331194,403.75899999997864,78.66500000010987,78.77566666677653,1785900471.8538334,8.225203992664017,"{""front_right_knee"":-8.225203992664017}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":26,""segment_index"":128,""max_error_deg"":1.3496691443367257,""effective_tolerance_deg"":1.8700155594392713,""recorded_residual_deg"":{""front_left_hip"":0.3821972889503229,""front_left_knee"":0.0825058694255425,""front_right_hip"":0.3840455454888243,""front_right_knee"":0.14938436289406987,""rear_left_hip"":-1.1200155594392713,""rear_left_knee"":-0.23801554020164772,""rear_right_hip"":0.13710673069671991,""rear_right_knee"":0.42143174294309205},""measured_errors_deg"":{""front_left_hip"":0.1007627592945326,""front_left_knee"":-0.03809563452301745,""front_right_hip"":0.024026274337451525,""front_right_knee"":0.08665932065125759,""rear_left_hip"":-1.3496691443367257,""rear_left_knee"":-0.06846975443442105,""rear_right_hip"":-0.06179478123639831,""rear_right_knee"":0.11049762626201698},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.3700155594392713}",,
fast,27,132,195,195,servo front_right_knee 7.8,403.75899999997864,403.7956666666453,78.77566666677653,78.81233333344319,1785900471.9881659,3.4261837243498157,"{""front_right_knee"":-3.4261837243498157}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":26,""segment_index"":128,""max_error_deg"":1.3496691443367257,""effective_tolerance_deg"":1.8700155594392713,""recorded_residual_deg"":{""front_left_hip"":0.3821972889503229,""front_left_knee"":0.0825058694255425,""front_right_hip"":0.3840455454888243,""front_right_knee"":0.14938436289406987,""rear_left_hip"":-1.1200155594392713,""rear_left_knee"":-0.23801554020164772,""rear_right_hip"":0.13710673069671991,""rear_right_knee"":0.42143174294309205},""measured_errors_deg"":{""front_left_hip"":0.1007627592945326,""front_left_knee"":-0.03809563452301745,""front_right_hip"":0.024026274337451525,""front_right_knee"":0.08665932065125759,""rear_left_hip"":-1.3496691443367257,""rear_left_knee"":-0.06846975443442105,""rear_right_hip"":-0.06179478123639831,""rear_right_knee"":0.11049762626201698},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.3700155594392713}",,
fast,28,133,196,196,servo rear_left_knee 21.7,403.7956666666453,403.80499999997863,78.81233333344319,78.82166666677652,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
fast,28,134,197,197,servo rear_left_knee 41.1,403.80499999997863,403.93433333331194,78.82166666677652,78.95100000010986,1785900472.1305048,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":26,""segment_index"":128,""max_error_deg"":1.3496691443367257,""effective_tolerance_deg"":1.8700155594392713,""recorded_residual_deg"":{""front_left_hip"":0.3821972889503229,""front_left_knee"":0.0825058694255425,""front_right_hip"":0.3840455454888243,""front_right_knee"":0.14938436289406987,""rear_left_hip"":-1.1200155594392713,""rear_left_knee"":-0.23801554020164772,""rear_right_hip"":0.13710673069671991,""rear_right_knee"":0.42143174294309205},""measured_errors_deg"":{""front_left_hip"":0.1007627592945326,""front_left_knee"":-0.03809563452301745,""front_right_hip"":0.024026274337451525,""front_right_knee"":0.08665932065125759,""rear_left_hip"":-1.3496691443367257,""rear_left_knee"":-0.06846975443442105,""rear_right_hip"":-0.06179478123639831,""rear_right_knee"":0.11049762626201698},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.3700155594392713}",,
fast,28,135,198,198,servo rear_left_knee 43.8,403.93433333331194,403.95233333331197,78.95100000010986,78.96900000010986,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
fast,28,136,199,199,servo rear_left_knee 45.2,403.95233333331197,403.96166666664527,78.96900000010986,78.97833333344319,1785900472.4083967,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""step_index"":26,""segment_index"":128,""max_error_deg"":1.3496691443367257,""effective_tolerance_deg"":1.8700155594392713,""recorded_residual_deg"":{""front_left_hip"":0.3821972889503229,""front_left_knee"":0.0825058694255425,""front_right_hip"":0.3840455454888243,""front_right_knee"":0.14938436289406987,""rear_left_hip"":-1.1200155594392713,""rear_left_knee"":-0.23801554020164772,""rear_right_hip"":0.13710673069671991,""rear_right_knee"":0.42143174294309205},""measured_errors_deg"":{""front_left_hip"":0.1007627592945326,""front_left_knee"":-0.03809563452301745,""front_right_hip"":0.024026274337451525,""front_right_knee"":0.08665932065125759,""rear_left_hip"":-1.3496691443367257,""rear_left_knee"":-0.06846975443442105,""rear_right_hip"":-0.06179478123639831,""rear_right_knee"":0.11049762626201698},""stability_basis"":""bounded_recent_contact_residual_window"",""stability_window_s"":0.1,""stability_window_cap_deg"":2.3700155594392713}",,
